Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
03/04/26,,PSG Under 3.5,1.55,1.73,11.61,3-1,F,0,15,-15,F (3-1) 90 min
03/04/26,,PSG Under 2.5 (Fictief),2.31,2.75,19.05,3-1,F,X,,,F (3-1)
03/04/26,,Rayo V Win,1.68,1.73,2.98,1-0,G,1,15,10.95,G (1-0)
03/04/26,,Rayo V Draw,3.68,3.9,5.98,1-0,F,0,5,-5,F (1-0)
03/04/26,,Rayo V Under 2.5,1.67,2,19.76,1-0,G,1,15,15,G (1-0)
Dagtotaal 03/04/26,,,,,,,,,50.00,5.95,ROI 11.9% · 4 plays

04/04/26,,Leverkusen Win,1.31,1.44,9.92,6-3,G,1,20,8.8,G (6-3)
04/04/26,,Hamburger Win,2.13,2.35,10.33,1-1,F,0,10,-10,F (1-1)
04/04/26,,Hoffenheim Win,1.61,1.7,5.59,1-2,F,0,15,-15,F (1-2)
04/04/26,,Hoffenheim over 2.5,1.45,1.67,15.17,1-2,G,1,20,13.4,G (1-2)
04/04/26,,Gladbach Win,1.66,1.62,-2.41,2-2,F,0,15,-15,F (2-2)
04/04/26,,Gladbach Draw,4.08,4.2,2.94,2-2,G,1,5,16,G (2-2)
04/04/26,,Gladbach Under 2.5,2.03,2.3,13.30,2-2,F,0,10,-10,F (2-2)
04/04/26,,Gladbach Under 3.5,1.41,1.5,6.38,2-2,F,X,,,F (2-2) X
04/04/26,,Freiburg over 3.5,1.78,2.1,17.98,2-3,G,1,15,16.5,G (2-3)
04/04/26,,Leipzig Win,1.83,1.9,3.83,1-2,G,1,15,13.5,G (1-2)
04/04/26,,Leipzig Under 3.5,1.59,1.73,8.80,1-2,G,1,15,10.95,G (1-2)
04/04/26,,Strasbourg Win,1.44,1.95,35.42,3-1,G,1,20,19,G (3-1)
04/04/26,,Brest Win,2.31,3,29.87,3-4,F,0,5,-5,F (3-4)
04/04/26,,Brest over 2.5,1.69,1.91,13.02,3-4,G,1,15,13.65,G (3-4)
04/04/26,,Lille over 2.5,1.64,1.83,10.38,3-0,G,1,15,12.45,G (3-0)
04/04/26,,Sassuolo Win,2.02,2.15,6.05,2-1,G,1,10,11.5,G (2-1)
04/04/26,,Hellas Win,3.24,3.9,16.92,0-1,F,0,5,-5,F (0-1)
04/04/26,,Hellas over 2.5,2.18,2.3,5.22,0-1,F,0,10,-10,F (0-1)
04/04/26,,Lazio Win,1.85,1.9,2.63,1-1,F,0,15,-15,F (1-1)
04/04/26,,Utrecht Win,5.05,5.75,12.17,4-3,F,1,5,23.75,F (4-3) G (0-2 EP)
04/04/26,,Psv Over 3.5,1.74,1.83,4.92,4-3,G,1,15,12.45,G (4-3)
04/04/26,,Fortuna Win,4.41,10,55.90,2-0,F,0,5,-5,F (2-0)
04/04/26,,Fortuna Draw,4.69,5.75,18.43,2-0,F,0,5,-5,F (2-0)
04/04/26,,Fortuna +1.5,1.56,2,22.00,2-0,F,X,,,F (2-0) ???
04/04/26,,Telstar Win,2.39,2.63,9.13,0-2,F,0,5,-5,F (0-2) 90min
04/04/26,,Ajax Win,1.97,2.3,14.35,1-2,F,0,10,-10,F (1-2)
04/04/26,,NEC Win,1.7,1.91,10.99,0-2,G,1,15,13.65,G (0-2)
04/04/26,,Estrela Win,3.36,4.5,25.33,2-0,F,0,5,-5,F (2-0)
04/04/26,,Estrela Draw,3.52,3.7,4.86,2-0,F,0,5,-5,F (2-0)
04/04/26,,Moreirense Win,5.49,7,21.57,0-1,F,0,5,-5,F (0-1)
04/04/26,,Moreirense Over 2.5,1.75,2,12.50,0-1,F,0,15,-15,F (0-1)
04/04/26,,Rio Ave Over 2.5,1.74,2.08,16.35,1-2,G,1,15,16.2,G (1-2)
04/04/26,,Mallorca Win,4.79,5.5,12.91,2-1,G,1,5,22.5,G (2-1)
04/04/26,,Mallorca Draw,3.91,4.33,9.70,2-1,F,0,5,-5,F (2-1)
04/04/26,,Mallorca Under 2.5,2.27,2.5,9.20,2-1,F,X,,,F (2-1)
