Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
11/09/26,1. FC Union Berlin - FC Schalke 04,1X2 1. FC Union Berlin,2.159,2.31,6.98,1-3,F,0,7.5,-7.5,
12/09/26,TSG 1899 Hoffenheim - VfB Stuttgart,1X2 VfB Stuttgart,2.288,2.82,23.23,2-1,F,0,5.0,-5.0,
12/09/26,TSG 1899 Hoffenheim - VfB Stuttgart,O/U 3.5 Over,1.514,2.01,32.79,2-1,F,0,10.0,-10.0,
12/09/26,FC Augsburg - Bayer 04 Leverkusen,1X2 FC Augsburg,3.097,4.27,37.88,2-2,F,0,5.0,-5.0,
12/09/26,FC Augsburg - Bayer 04 Leverkusen,1X2 Gelijkspel,4.223,4.32,2.29,2-2,G,1,5.0,16.6,
12/09/26,1. FSV Mainz 05 - Eintracht Frankfurt,1X2 Gelijkspel,3.718,4.04,8.65,1-3,F,0,5.0,-5.0,
12/09/26,1. FSV Mainz 05 - Eintracht Frankfurt,O/U 3.5 Under,1.484,1.73,16.57,1-3,F,0,15.0,-15.0,
12/09/26,SC Freiburg - Borussia Mönchengladbach,1X2 SC Freiburg,1.137,1.73,52.17,5-0,G,1,20.0,14.6,
12/09/26,SC Freiburg - Borussia Mönchengladbach,O/U 3.5 Over,1.487,2.46,65.44,5-0,G,1,10.0,14.6,
09/09/26,FC Twente '65 - Telstar 1963,1X2 Gelijkspel,5.086,6.6,29.76,1-0,F,0,2.5,-2.5,
09/09/26,FC Twente '65 - Telstar 1963,O/U 3.5 Under,1.27,2.2,73.16,1-0,G,1,7.5,9.0,
11/09/26,Sevilla FC - Valencia CF,1X2 Sevilla FC,1.886,2.22,17.73,1-0,G,1,10.0,12.2,
12/09/26,Real Racing Club de Santander - Deportivo Alavés,1X2 Deportivo Alavés,2.734,2.92,6.78,2-1,F,0,5.0,-5.0,
12/09/26,CA Osasuna - RCD Espanyol de Barcelona,1X2 CA Osasuna,1.91,2.13,11.53,0-2,F,0,7.5,-7.5,
12/09/26,CA Osasuna - RCD Espanyol de Barcelona,O/U 2.5 Under,1.553,1.74,12.01,0-2,G,1,12.5,9.25,
11/09/26,Stade Rennais FC 1901 - Olympique de Marseille,1X2 Stade Rennais FC 1901,1.905,2.16,13.41,1-0,G,1,7.5,8.7,
11/09/26,Stade Rennais FC 1901 - Olympique de Marseille,O/U 3.5 Over,1.919,2.41,25.56,1-0,F,0,7.5,-7.5,
12/09/26,Crystal Palace FC - Ipswich Town FC,1X2 Crystal Palace FC,1.672,1.91,14.26,2-3,F,0,12.5,-12.5,
12/09/26,Crystal Palace FC - Ipswich Town FC,O/U 2.5 Over,1.397,1.84,31.73,2-3,G,1,12.5,10.5,
12/09/26,Liverpool FC - Fulham FC,1X2 Liverpool FC,1.19,1.48,24.36,0-0,F,0,20.0,-20.0,
12/09/26,Liverpool FC - Fulham FC,O/U 3.5 Under,1.617,1.74,7.62,0-0,G,1,12.5,9.25,
12/09/26,Aston Villa FC - Nottingham Forest FC,O/U 2.5 Over,1.848,2.03,9.85,1-2,G,1,10.0,10.3,
12/09/26,AFC Bournemouth - Brentford FC,1X2 Gelijkspel,3.23,3.72,15.17,2-2,G,1,5.0,13.6,
12/09/26,AFC Bournemouth - Brentford FC,1X2 Brentford FC,2.397,2.79,16.41,2-2,F,0,5.0,-5.0,
12/09/26,AFC Bournemouth - Brentford FC,O/U 2.5 Under,1.719,2.38,38.46,2-2,F,0,10.0,-10.0,
09/09/26,Moreirense FC - Sport Lisboa e Benfica,O/U 3.5 Over,1.523,2.05,34.64,0-4,G,1,7.5,7.87,
10/09/26,CF Estrela da Amadora - Sporting Clube de Braga,1X2 Sporting Clube de Braga,1.311,1.69,28.95,2-1,F,0,15.0,-15.0,
10/09/26,CF Estrela da Amadora - Sporting Clube de Braga,O/U 2.5 Over,1.215,2,64.61,2-1,G,1,10.0,10.0,
12/09/26,CD Nacional - FC Alverca,1X2 CD Nacional,1.573,2.62,66.56,1-3,F,0,7.5,-7.5,
12/09/26,CD Nacional - FC Alverca,O/U 2.5 Over,1.634,2.04,24.86,1-3,G,1,10.0,10.4,
11/09/26,Venezia FC - ACF Fiorentina,1X2 Gelijkspel,2.774,3.47,25.06,2-4,F,0,5.0,-5.0,
11/09/26,Venezia FC - ACF Fiorentina,O/U 2.5 Under,1.382,2.1,51.94,2-4,F,0,12.5,-12.5,
12/09/26,Genoa CFC - Frosinone Calcio,1X2 Frosinone Calcio,1.858,3.79,103.97,1-1,F,0,5.0,-5.0,
12/09/26,Genoa CFC - Frosinone Calcio,O/U 2.5 Over,1.773,2,12.82,1-1,F,0,10.0,-10.0,

